QUERY_ID,DOC_ID,RERANK_SCORE,RANK
1,13702,0.4296686351299286,1
1,31601,0.40497803688049316,2
1,21207,0.3979383707046509,3
1,21159,0.39326852560043335,4
1,20971,0.3789186179637909,5
1,15740,0.35309353470802307,6
1,47161,0.351311057806015,7
1,53641,0.33895182609558105,8
1,42166,0.33895182609558105,9
1,20592,0.328529417514801,10
1,21229,0.31489264965057373,11
1,20970,0.3132096529006958,12
1,20506,0.3123700022697449,13
1,20584,0.270480215549469,14
1,15180,0.24798741936683655,15
1,20870,0.23231014609336853,16
1,20586,0.23091977834701538,17
1,21285,0.22270013391971588,18
1,18324,0.21733753383159637,19
1,21064,0.16559311747550964,20
2,19340,0.527438223361969,1
2,18430,0.3993430435657501,2
2,18452,0.3993430435657501,3
2,77959,0.36931508779525757,4
2,31437,0.30321574211120605,5
2,76612,0.29098084568977356,6
2,17289,0.2751297354698181,7
2,32869,0.2658804655075073,8
2,47053,0.2613309323787689,9
2,53678,0.2523840367794037,10
2,18432,0.2465333193540573,11
2,19084,0.24508501589298248,12
2,56445,0.24077458679676056,13
2,85242,0.16885694861412048,14
2,26907,0.10669060051441193,15
2,14512,0.10087862610816956,16
2,25309,0.09670579433441162,17
2,17039,0.08882029354572296,18
2,13796,0.08632347732782364,19
2,42442,0.0838903859257698,20
3,31102,0.4974364936351776,1
3,18057,0.44601210951805115,2
3,20512,0.40497803688049316,3
3,29011,0.3993430435657501,4
3,17118,0.3250918686389923,5
3,17257,0.3225259780883789,6
3,17219,0.31658050417900085,7
3,18409,0.29746994376182556,8
3,18954,0.29746994376182556,9
3,31101,0.29746994376182556,10
3,31118,0.2958398759365082,11
3,32442,0.2613309323787689,12
3,57354,0.2351083904504776,13
3,18000,0.23231014609336853,14
3,693,0.2186693549156189,15
3,18416,0.21733753383159637,16
3,17210,0.21206879615783691,17
3,17218,0.200557678937912,18
3,18003,0.1980641782283783,19
3,42262,0.12421301752328873,20
4,16981,0.6584175229072571,1
4,50537,0.5912513136863708,2
4,45381,0.5556763410568237,3
4,137717,0.545285701751709,4
4,62306,0.5350984334945679,5
4,14526,0.5350984334945679,6
4,20841,0.5287767648696899,7
4,20860,0.5240293145179749,8
4,110879,0.4821852743625641,9
4,16895,0.4602888524532318,10
4,45015,0.4602888524532318,11
4,6237,0.4433594048023224,12
4,84935,0.4368622601032257,13
4,42169,0.43062615394592285,14
4,4230,0.3988746404647827,15
4,17195,0.34510529041290283,16
4,15092,0.3407045006752014,17
4,49694,0.334589421749115,18
4,20561,0.3106943964958191,19
4,20840,0.13846179842948914,20
5,21172,0.47962552309036255,1
5,21240,0.4692769944667816,2
5,53003,0.4287116527557373,3
5,21100,0.41917234659194946,4
5,17816,0.38676342368125916,5
5,9527,0.34775859117507935,6
5,57366,0.3319854736328125,7
5,59226,0.3259495198726654,8
5,4066,0.3132096529006958,9
5,16932,0.30404168367385864,10
5,20523,0.28937169909477234,11
5,57683,0.27747297286987305,12
5,14781,0.2743513584136963,13
5,148920,0.267408162355423,14
5,21793,0.25534364581108093,15
5,16262,0.25534364581108093,16
5,77235,0.21206879615783691,17
5,58375,0.21206879615783691,18
5,85914,0.2018132209777832,19
5,86727,0.19930799305438995,20
6,17942,0.49898532032966614,1
6,52875,0.4649015963077545,2
6,59438,0.4649015963077545,3
6,16409,0.4605315029621124,4
6,33177,0.4602888524532318,5
6,17372,0.4593186378479004,6
6,5066,0.42536652088165283,7
6,122802,0.4040370583534241,8
6,18291,0.378459095954895,9
6,28863,0.3319854736328125,10
6,6587,0.3259495198726654,11
6,21892,0.3073580265045166,12
6,17955,0.2934044897556305,13
6,21904,0.2934044897556305,14
6,17060,0.28616926074028015,15
6,14527,0.26971012353897095,16
6,102414,0.26971012353897095,17
6,22133,0.2628418505191803,18
6,22824,0.20946967601776123,19
6,20902,0.2018132209777832,20
7,18043,0.4344612956047058,1
7,17068,0.3923368453979492,2
7,17205,0.3557748794555664,3
7,17022,0.3242354094982147,4
7,5574,0.3242354094982147,5
7,18936,0.3106943964958191,6
7,17089,0.2999247610569,7
7,11611,0.29178744554519653,8
7,15532,0.29098084568977356,9
7,11604,0.2845759987831116,10
7,134594,0.2613309323787689,11
7,109711,0.2613309323787689,12
7,67219,0.2613309323787689,13
7,10089,0.25832599401474,14
7,49135,0.25832599401474,15
7,17249,0.25534364581108093,16
7,17206,0.2436424344778061,17
7,11612,0.2146914005279541,18
7,18016,0.20434190332889557,19
7,17207,0.18594719469547272,20
8,17906,0.4851118326187134,1
8,13544,0.47779780626296997,2
8,20563,0.4059196412563324,3
8,61144,0.3993430435657501,4
8,20885,0.3747906982898712,5
8,32956,0.3711366057395935,6
8,21088,0.33895182609558105,7
8,16258,0.30404168367385864,8
8,22192,0.3015677034854889,9
8,20977,0.2885690927505493,10
8,20992,0.27747297286987305,11
8,58578,0.267408162355423,12
8,17370,0.23651622235774994,13
8,17363,0.22953519225120544,14
8,21249,0.22135066986083984,15
8,32906,0.2018132209777832,16
8,17077,0.19930799305438995,17
8,18058,0.1883239895105362,18
8,18832,0.17781086266040802,19
8,13110,0.16667540371418,20
9,31065,0.5161076784133911,1
9,29401,0.43398144841194153,2
9,43178,0.3407045006752014,3
9,18946,0.33895182609558105,4
9,18941,0.3380771279335022,5
9,18067,0.3319854736328125,6
9,26067,0.2950267493724823,7
9,18943,0.200557678937912,8
9,18944,0.18476749956607819,9
9,35419,0.1755380779504776,10
9,15255,0.17441028356552124,11
9,18345,0.15921740233898163,12
9,34284,0.1540575623512268,13
9,31398,0.14706452190876007,14
9,56073,0.14608724415302277,15
9,66909,0.14608724415302277,16
9,40141,0.14608724415302277,17
9,88647,0.14608724415302277,18
9,31741,0.13477592170238495,19
9,14932,0.12940272688865662,20
10,30086,0.31153157353401184,1
10,32385,0.3073580265045166,2
10,30371,0.30074557662010193,3
